id,title,severity,default,why_it_matters,preferred_position,fallback_1,fallback_2,red_line,escalation_trigger,legal_basis,sample_clause,approved_fix,owner,last_reviewed
DP-001,BMW contracting entity required,high,The applicable BMW contracting entity and address must be named.,"The legal entity determines controller identity, signature authority, notification routing, and audit ownership.","Name the BMW entity, registered address, role as controller, and operational contact for privacy notices.",Permit a schedule to identify the BMW entity before signature if procurement routing is still open.,Use BMW AG as placeholder only with legal approval and a required pre-signature update.,"No BMW entity, wrong BMW entity, or supplier-only party description.",Escalate if the supplier refuses to identify the BMW controller or insists on an affiliate catch-all.,GDPR Art. 28; accountability under GDPR Art. 5(2) and Art. 24.,Customer means any BMW group company using the services.,"Controller means BMW AG, Petuelring 130, 80788 Muenchen, Germany, or the BMW group company identified in Order Form 1.",BMW Privacy Legal,2026-04-25
DP-002,Subprocessor list required,medium,Processor must list subprocessors or state that none are used.,BMW needs an auditable chain of processors and a practical objection right before data is moved to a new supplier.,"Attach a named subprocessor table with role, location, data categories, and 30-day prior notice for changes.",Accept a live URL only if a dated export is attached at signature and BMW receives 30-day notice.,Accept general authorization for low-risk support subprocessors with a 30-day objection right.,"Undisclosed subprocessors, blanket approval, or notice after onboarding.",Escalate if the subprocessor list is missing for personal data processing or objection rights are removed.,GDPR Art. 28(2) and 28(4).,Processor may appoint subprocessors at its discretion and will update its website from time to time.,Processor may use only the subprocessors listed in Annex 3 and must give BMW at least 30 days' prior written notice of changes.,BMW Privacy Legal,2026-04-25
DP-003,Data subject rights cannot be waived,blocker,No clause may waive statutory data subject rights.,A waiver clause conflicts with the GDPR rights model and creates immediate legal and reputational risk.,Preserve all statutory rights and require processor assistance within five business days.,Permit processor to redirect requests to BMW if it also preserves evidence and notifies BMW within two business days.,Permit operational request-routing language only if it does not limit statutory rights.,"Any waiver, release, opt-out, or contractual limitation of GDPR data subject rights.",Escalate immediately if the contract says data subjects waive all data subject rights or similar wording.,GDPR Art. 12-22 and Art. 28(3)(e).,Data subjects waive all data subject rights against Processor and BMW for service data.,Nothing in this Agreement limits rights available to data subjects under applicable data protection law.,BMW Privacy Legal,2026-04-25
DP-004,Processor instructions and purpose limitation,high,Processor may process BMW personal data only on documented BMW instructions and for the signed purpose.,Purpose drift turns a processor into an uncontrolled decision-maker and can invalidate the processing structure.,"Processing only for documented BMW instructions, with immediate notice if an instruction appears unlawful.",Allow narrowly defined service analytics if aggregated and approved in the order form.,"Allow security telemetry only if it cannot identify BMW personnel, drivers, or vehicle users.","Supplier may reuse BMW personal data for product development, benchmarking, AI training, or unrelated analytics.",Escalate if supplier claims independent rights to use personal data outside BMW instructions.,"GDPR Art. 5(1)(b), Art. 28(3)(a), and controller-processor guidance.",Processor may use pseudonymized BMW data to improve its AI models and benchmark automotive customers.,"Processor will not use BMW personal data for model training, benchmarking, or product development unless BMW gives prior written approval.",BMW Privacy Legal,2026-04-25
DP-005,Security measures and TOM annex,high,"A technical and organisational measures annex must cover encryption, access control, logging, vulnerability handling, and incident response.",BMW cannot assess risk or prove accountability if the contract only promises generic reasonable security.,"Attach a TOM annex with encryption in transit and at rest, MFA, least privilege, audit logs, backup controls, and vulnerability SLAs.","Accept SOC 2 Type II, ISO 27001, or TISAX evidence plus a short contract annex for BMW-specific controls.",Accept a security questionnaire only for low-risk processing and only until the TOM annex is complete.,"No TOM annex, no audit evidence, no encryption commitment, or supplier can lower controls unilaterally.","Escalate if special category data, vehicle location data, or employee data is processed without a TOM annex.",GDPR Art. 32 and Art. 28(3)(c).,Supplier shall use commercially reasonable security measures as it deems appropriate.,Processor shall maintain the TOMs in Annex 2 and may not materially reduce them without BMW's prior written approval.,BMW Privacy Legal / Cybersecurity,2026-04-25
DP-006,Personal data breach notification,high,Processor must notify BMW without undue delay and no later than 24 hours after becoming aware of a personal data breach.,"BMW may have a 72-hour supervisory authority deadline and needs facts, affected data, mitigation, and logs quickly.","24-hour initial notice, rolling updates every 12 hours during active containment, and a final report within five business days.",36-hour notice only if supplier operates a staffed incident desk and provides immediate phone escalation for severe events.,"48-hour notice for low-risk support data with no vehicle, employee, payment, or credential data.","Notice only after confirmation, more than 48 hours, or supplier discretion over whether BMW is notified.","Escalate if the draft gives 72 hours or more, or starts the clock after full investigation rather than awareness.","GDPR Art. 33, Art. 34, and Art. 28(3)(f).",Processor will notify BMW within 72 hours after it confirms that a security incident is a reportable breach.,Processor shall notify BMW within 24 hours after becoming aware of any actual or suspected personal data breach.,BMW Privacy Legal / Incident Response,2026-04-25
DP-007,Third-country transfers and remote access,blocker,"BMW personal data must remain in the EU/EEA unless an adequacy decision, BMW-approved SCCs, transfer impact assessment, and supplementary measures apply.",Remote access from outside the EU/EEA can be a restricted transfer and must be controlled before signature.,"EU/EEA hosting and support, with named exceptions approved by BMW Privacy Legal and the DPO.","Permit approved third-country support under SCCs, transfer impact assessment, encryption, and named personnel.","Permit emergency break-glass support with access logs, time limits, and post-event reporting.","Unrestricted US, India, or global access; SCCs to be agreed later; or onward transfers without BMW approval.",Escalate if the draft references third-country processing without completed safeguards.,GDPR Art. 44-46 and Schrems II transfer assessment principles.,Support teams in the United States and India may access BMW service data under safeguards to be agreed.,No third-country transfer or remote access is permitted unless listed in Annex 3 and approved by BMW in writing.,BMW Privacy Legal / DPO,2026-04-25
DP-008,Audit rights and evidence access,medium,BMW must receive audit evidence and retain audit rights proportionate to processing risk.,Audit rights make processor commitments testable and support BMW accountability to regulators and customers.,"Annual third-party assurance report plus BMW audit right on 30 days' notice, with emergency audits after incidents.",Remote audit and evidence package if data is low risk and the supplier provides current independent assurance.,Questionnaire-only audit for small vendors with no production personal data.,Supplier can refuse all audits or provide only self-certification for high-risk processing.,"Escalate if audit rights are missing for vehicle, employee, credential, or production customer data.",GDPR Art. 28(3)(h).,BMW may request a security questionnaire once per year; no onsite or third-party audit is permitted.,Processor shall make available all information necessary to demonstrate compliance and allow audits by BMW or its auditor.,BMW Privacy Legal / Vendor Risk,2026-04-25
DP-009,Return and deletion after termination,medium,Processor must return or delete BMW personal data within 30 days after termination unless EU or Member State law requires retention.,Long retention increases breach exposure and can conflict with storage limitation requirements.,"Return or deletion within 30 days, backup purge within 90 days, and certificate of deletion.",45-day production deletion with 120-day backup purge for complex hosted services.,Longer retention only for named legal obligations and segregated read-only archives.,"Retention for analytics, benchmarking, model training, or undefined business purposes after termination.",Escalate if deletion exceeds 90 days for active systems or 180 days for backups.,GDPR Art. 5(1)(e) and Art. 28(3)(g).,Processor may retain service data for 180 days and backups for 18 months for operational assurance.,Processor shall delete or return BMW personal data within 30 days and purge backups within 90 days unless law requires retention.,BMW Privacy Legal,2026-04-25
DP-010,Data subject request assistance,medium,Processor must help BMW answer data subject requests within five business days.,BMW remains accountable for statutory response deadlines even when data is held by a supplier.,"Two-business-day notice to BMW and five-business-day assistance with search, export, correction, deletion, and restriction.",Seven-business-day assistance for low-volume back-office data.,Longer assistance only if the request requires archive restoration and supplier gives status updates.,"Supplier may ignore requests, charge uncapped fees, or respond to data subjects without BMW instruction.",Escalate if supplier refuses operational assistance or tries to make BMW waive response obligations.,GDPR Art. 12-22 and Art. 28(3)(e).,Processor may charge its then-current professional services rates for any data subject request support.,Processor shall notify BMW within two business days and provide reasonable assistance within five business days at no extra charge.,BMW Privacy Legal / Customer Operations,2026-04-25
DP-011,AI training and derived data,high,"BMW personal data, vehicle data, and derived identifiers may not be used for supplier AI training without explicit BMW approval.","AI training can create persistence, re-identification, trade secret, and transparency problems beyond the service purpose.","No AI model training, benchmarking, or synthetic data generation from BMW data unless approved in a separate AI/data use addendum.","Allow aggregate service metrics only if irreversible, non-personal, and not customer-comparative.",Allow security anomaly models only on minimized logs and only for providing the service to BMW.,Any right to train general models or share derived insights with other automotive customers.,Escalate if supplier asks for AI training rights or a broad anonymized-data license.,"GDPR Art. 5, Art. 6, Art. 25, Art. 28, and BMW AI governance policy.",Supplier may create anonymized or synthetic data sets from BMW data and use them to improve its platform.,Supplier shall not use BMW data or derived data for AI training except under a separately signed BMW AI addendum.,BMW Privacy Legal / AI Governance,2026-04-25
DP-012,"Employee, driver, and vehicle data sensitivity",high,"Processing involving employees, drivers, precise location, diagnostics, or connected vehicle identifiers requires an explicit data category schedule and risk review.","These categories raise heightened privacy, employment, works council, and reputational risk in Germany.","Attach a schedule covering data categories, legal basis, retention, works council dependency, and DPIA status.",Permit only pseudonymous vehicle telemetry until the complete schedule is approved.,Permit pilot data with synthetic or masked identifiers and no employee monitoring use.,"Hidden employee monitoring, location tracking without necessity analysis, or missing DPIA decision.","Escalate if the draft includes employee, precise location, or driver behavior data without a schedule.","GDPR Art. 5, Art. 6, Art. 9 where relevant, BDSG Section 26, and GDPR Art. 35.","Processor may process driver behavior, location, HR contact, and warranty diagnostic data as reasonably needed.",The data categories in Annex 1 are exhaustive and may be expanded only by written BMW Privacy Legal approval.,BMW Privacy Legal / Labor Relations,2026-04-25
